CO_IES|NO_IES|SGL_IES|CO_MANTENEDORA|NO_MANTENEDORA|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_MUNICIPIO_IES|NO_MUNICIPIO_IES|CO_UF_IES|SGL_UF_IES|NO_REGIAO_IES|IN_CAPITAL_IES|QT_TEC_TOTAL|QT_TEC_FUND_INCOMP_FEM|QT_TEC_FUND_INCOMP_MASC|QT_TEC_FUND_COMP_FEM|QT_TEC_FUND_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_REFERENTE|VL_RECEITA_PROPRIA|VL_TRANSFERENCIA|VL_OUTRA_RECEITA|VL_DES_PESSOAL_REM_DOCENTE|VL_DES_PESSOAL_REM_TECNICO|VL_DES_PESSOAL_ENCARGO|VL_DES_CUSTEIO|VL_DES_INVESTIMENTO|VL_DES_PESQUISA|VL_DES_OUTRAS
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|UFMT|1|FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO|1|Pública Federal|1|Universidade|5103403|Cuiabá|51|MT|Centro-Oeste|1|1603|0|0|23|92|192|231|191|159|314|236|92|52|13|8|1|1|2|6107980.89|688330081.40|0.00|216729315.19|102564040.35|68512668.10|115121896.00|26075024.00|14149111.00|151286007.65
2|UNIVERSIDADE DE BRASÍLIA|UNB|2|FUNDACAO UNIVERSIDADE DE BRASILIA|1|Pública Federal|1|Universidade|5300108|Brasília|53|DF|Centro-Oeste|1|2623|12|52|28|76|312|350|417|383|422|349|108|74|19|21|1|1|2|379730416.98|1829352922.32|12523105.45|577862562.46|385241708.30|196781655.18|416940932.89|45465949.40|51679547.80|193856085.39
3|UNIVERSIDADE FEDERAL DE SERGIPE|UFS|3|FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE|1|Pública Federal|1|Universidade|2806701|São Cristóvão|28|SE|Nordeste|0|1059|5|59|5|25|108|210|200|191|99|64|56|34|0|3|1|1|2|4734825.61|547727734.17|1019509.98|196965678.18|103593078.16|62791202.79|84152002.93|67242163.70|1659663.72|1831173.51
4|UNIVERSIDADE FEDERAL DO AMAZONAS|UFAM|4|FUNDACAO UNIVERSIDADE DO AMAZONAS|1|Pública Federal|1|Universidade|1302603|Manaus|13|AM|Norte|1|1711|9|11|3|22|200|227|215|191|397|276|90|49|9|12|1|1|1|15876633.00|51489086.96|639828098.00|286600256.82|1.00|167580497.44|143379022.92|17028551.66|0.00|0.00
6|UNIVERSIDADE FEDERAL DE OURO PRETO|UFOP|6|UNIVERSIDADE FEDERAL DE OURO PRETO|1|Pública Federal|1|Universidade|3146107|Ouro Preto|31|MG|Sudeste|0|793|15|75|5|42|51|135|57|90|130|107|45|29|8|4|1|1|2|3257012.30|468309766.23|0.00|111396027.81|53073834.15|30900867.80|139611140.40|21740772.74|100324501.89|14519633.74
10|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ|PUCPR|10|ASSOCIACAO PARANAENSE DE CULTURA - APC|5|Privada sem fins lucrativos|1|Universidade|4106902|Curitiba|41|PR|Sul|1|833|6|17|2|7|197|158|220|97|80|28|5|11|5|0|1|1|1|543715526.17|0.00|3887691.72|156217190.98|36643538.62|97010354.10|118938299.32|128499894.83|10293940.04|0.00
11|UNIVERSIDADE CATÓLICA DE PERNAMBUCO|UNICAP|11|CENTRO DE EDUCACAO TECNICA E CULTURAL|5|Privada sem fins lucrativos|1|Universidade|2611606|Recife|26|PE|Nordeste|1|450|2|14|0|10|73|90|97|82|43|31|1|6|0|1|1|1|2|102454000.00|0.00|27410000.00|50536000.00|25174000.00|26872000.00|25631000.00|6490000.00|1601000.00|0.00
13|UNIVERSIDADE DE CAXIAS DO SUL|UCS|13|FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL|5|Privada sem fins lucrativos|1|Universidade|4305108|Caxias do Sul|43|RS|Sul|0|990|11|19|15|27|258|183|240|74|90|34|18|16|3|2|1|1|2|298374087.00|0.00|31815678.00|102821672.00|36126533.00|40868958.00|125501040.00|12882060.00|12711242.00|0.00
14|UNIVERSIDADE DO VALE DO RIO DOS SINOS|UNISINOS|14|ASSOCIACAO ANTONIO VIEIRA|5|Privada sem fins lucrativos|1|Universidade|4318705|São Leopoldo|43|RS|Sul|0|1089|5|5|10|6|383|306|166|62|64|29|21|21|6|5|1|1|2|364440190.00|2504891.00|44275056.00|108416594.00|30094656.00|41424985.00|83285505.00|16757310.00|5404898.00|10164936.00
15|UNIVERSIDADE CATÓLICA DE PETRÓPOLIS|UCP|15|MITRA DIOCESANA DE PETROPOLIS|5|Privada sem fins lucrativos|1|Universidade|3303906|Petrópolis|33|RJ|Sudeste|0|213|3|34|6|23|33|50|32|22|4|1|4|1|0|0|1|0|2|34384730.44|0.00|2630560.77|15821874.85|6720274.57|2596312.92|4783867.70|43642.68|34133.82|4146495.27
